original_index,frame.time_epoch,frame.len,direction,time_interval,protocol_type,payload,label,cluster
1,1556245477.634952,343,0,0.2122161388397216,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
3,1556235564.460288,343,0,0.1243331432342529,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
5,1556251185.630855,343,0,0.2085261344909668,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
7,1556238568.172478,343,0,0.1222009658813476,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
9,1556255691.955922,343,0,0.2114229202270507,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
11,1556243074.260077,343,0,0.2199759483337402,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
13,1556234963.71955,343,0,0.1376359462738037,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
15,1556247280.160109,343,0,0.2259430885314941,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
17,1556237967.438422,343,0,0.1459159851074218,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
19,1556243675.105453,343,0,0.2289431095123291,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
21,1556259897.850033,343,0,0.2163741588592529,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
23,1556238868.589961,343,0,0.2133059501647949,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
25,1556253889.449714,343,0,0.2168388366699218,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
27,1556238267.82508,343,0,0.1803178787231445,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
29,1556246979.736007,343,0,0.2202939987182617,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
31,1556252086.881126,343,0,0.2153608798980713,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
33,1556249383.112294,343,0,0.2137260437011718,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
35,1556241872.586747,343,0,0.2113878726959228,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
37,1556250584.801277,343,0,0.2050859928131103,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
39,1556232861.185498,343,0,0.2292890548706054,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
41,1556244275.932485,343,0,0.2188270092010498,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
43,1556245177.219445,343,0,0.2120618820190429,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
45,1556230157.303657,343,0,0.2208220958709716,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
47,1556244576.373447,343,0,0.2200579643249511,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
49,1556257794.881422,343,0,0.2098040580749511,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
51,1556242473.441654,343,0,0.2118430137634277,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
53,1556246679.311137,343,0,0.2179210186004638,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
55,1556249683.532146,343,0,0.2139050960540771,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
57,1556229856.881075,343,0,0.2176079750061035,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
59,1556249082.679645,343,0,0.2199251651763916,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
61,1556243374.675307,343,0,0.2047381401062011,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
63,1556260799.096144,343,0,0.2396059036254882,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
65,1556231959.913743,343,0,0.2271859645843505,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
67,1556233762.304503,343,0,0.1118710041046142,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
69,1556231058.6291,343,0,0.2249760627746582,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
71,1556242173.027723,343,0,0.2125461101531982,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
73,1556258395.734125,343,0,0.210129976272583,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
75,1556247880.996698,343,0,0.2206418514251709,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
77,1556230457.759107,343,0,0.2418792247772216,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
79,1556234663.385066,343,0,0.1087961196899414,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
81,1556253589.008546,343,0,0.2110111713409423,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
83,1556246378.888249,343,0,0.2116708755493164,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
85,1556250885.221482,343,0,0.220890998840332,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
87,1556260198.269226,343,0,0.1995341777801513,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
89,1556231659.483162,343,0,0.2183618545532226,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
91,1556257194.037377,343,0,0.2174851894378662,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
93,1556231359.05417,343,0,0.2229189872741699,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
95,1556237667.061386,343,0,0.1049821376800537,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
97,1556259297.022527,343,0,0.2171049118041992,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
99,1556261399.931179,343,0,0.2273859977722168,dhcp,,192.168.20.105_68_192.168.20.254_67_17,1
